##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-AMBALLAGE-DE-25KG;1054;1000
INVENTORY-AMBALLAGE-DE-10KG;809;700
INVENTORY-AMBALLAGE-DE-5KG;1701;650
INVENTORY-AMBALLAGE-DE-1KG;3859;700
INVENTORY-AMBALLAGE-DE-500G;677;550
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MAIS;874;1500
INVENTORY-SORGHO;1040;1700
INVENTORY-SOJA;1024;2000
INVENTORY-BLE;110;2700
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-LIGNE-ELECTRIQUE;1;60000000
INVENTORY-GROUPE-ELECTROGENE-SPTPA;1;50000000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-DROYER;1;0
INVENTORY-GRADER;1;5000000
INVENTORY-MACHINE-CYNCLONE;1;4000000
INVENTORY-MELANGEUR;1;9000000
INVENTORY-TORREFACTEUR;1;8550000
INVENTORY-CHAINE-DE-PRODUCTION-MAIS;1;0
INVENTORY-CYNCLONE-INOXYDABLE;2;7500000
INVENTORY-CHAINE-DE-PRODUCTION-RIZ;1;0
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-FARINE-DE-MAIS-DE-25KG;0;
INVENTORY-FARINE-DE-MAIS-10KG;0;
INVENTORY-FARINE-DE-MAIS-5KG;0;
INVENTORY-FARINE-DE-BOULLIE-DE-1KG;0;
INVENTORY-FARINE-DE-BOULLIE-DE-500G;0;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-SON-DE-MAIS-QUALITE-1;0;
INVENTORY-SON-DE-MAIS-QUALITE-2;0;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MACHINE-A-COUDRE;1;500000
INVENTORY-BALANCE-ELECTRONIQUE;1;600000
INVENTORY-BALANCE-ZHUSHENG;1;1000000
IMVENTORY-ALLONGE;1;20000
INVENTORY-TABLE-DE-BUREAU;1;60000
INVENTORY-CHAISE;1;15000
INVENTORY-UNIFORME;9;10000
INVENTORY-BOTUNE;6;15000
INVENTORY-MARMITE;1;60000
INVENTORY-BECHE;4;6000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MERCEDES-BENZ-3236;1;0
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-BATIMENT;3;0
;;
##mBInventory;;
code;quantity;cost
INVENTORY-DEPLACEMENT;2;85500
INVENTORY-MAIN D_OEUVRE;6;101500
INVENTORY-RATION;2;21000
INVENTORY-UMUSEGETERA;1;7000
INVENTORY-DECHARGEMENT;10;10500
INVENTORY-AMAGUNIRA;40;800
INVENTORY-SHITING;1;25000
